# STB_ID|ITACH_IP|ITACH_PORT|STB_TYPE|STB_INFO
147|10.177.47.155|2|1|Rack11-S1-STB2-DCX3200
148|10.177.47.155|3|1|Rack11-S1-STB3-DCX525e
149|10.177.47.156|1|1|Rack11-S1-STB4-DCX3520e
150|10.177.47.156|2|1|Rack11-S1-STB5-DCX3400
151|10.177.47.156|3|1|Rack11-S2-STB6-Pace Dallas CC
152|10.177.47.137|1|1|Rack11-S2-STB7-Pace Seattle
153|10.177.47.137|2|1|Rack11-S2-STB8-Pace Tango
154|10.177.47.137|3|1|Rack11-S2-STB9-Pace Dallas MC
155|10.177.47.158|1|1|Rack11-S2-STB10-DCH6416
156|10.177.47.158|2|1|Rack11-S3-STB11-DCH3200
157|10.177.47.158|3|1|Rack11-S3-STB12-DCT6412
158|10.177.47.159|1|1|Rack11-S3-STB13-DCH6416
159|10.177.47.159|2|1|Rack11-S3-STB14-DCT6416
160|10.177.47.159|3|1|Rack11-S3-STB15-DCT2000
#SuperRack - Rack 12
161|10.177.47.140|1|1|Rack12-S1-STB1-DCT2500
162|10.177.47.140|2|1|Rack12-S1-STB2-DCX3200
163|10.177.47.140|3|1|Rack12-S1-STB3-DCX525e
164|10.177.47.141|1|1|Rack12-S1-STB4-DCX3520e
165|10.177.47.141|2|1|Rack12-S1-STB5-DCX3400
166|10.177.47.141|3|1|Rack12-S2-STB6-Pace Dallas MC
167|10.177.47.142|1|1|Rack12-S2-STB7-Pace Seattle
168|10.177.47.142|2|1|Rack12-S2-STB8-Pace Tango
169|10.177.47.142|3|1|Rack12-S2-STB9-Pace Denali MC
170|10.177.47.143|1|1|Rack12-S2-STB10-DCH3416
171|10.177.47.143|2|1|Rack12-S3-STB11-DCH3200
172|10.177.47.143|3|1|Rack12-S3-STB12-DCH6416
173|10.177.47.144|1|1|Rack12-S3-STB13-DCT6412
174|10.177.47.144|2|1|Rack12-S3-STB14-DCT6416
175|10.177.47.144|3|1|Rack12-S3-STB15-DCT2000

